sequence_id	quartet_index	mode_position	seed	split	intensity	pair_group_id	mode_order	plan_sha256
76	18	4	seed007	train	light	seed007_light	vless	5c593ae39dc3313eeed96b359b4fe1d5d580f55d932030d3cdf9d2652c009f9f
77	19	1	seed007	train	medium	seed007_medium	trojan	cb072ccc39d4c41d7b6ae9519d496c8c641028910c60a0cdcdf3a04dffefde0a
78	19	2	seed007	train	medium	seed007_medium	direct	cb072ccc39d4c41d7b6ae9519d496c8c641028910c60a0cdcdf3a04dffefde0a
79	19	3	seed007	train	medium	seed007_medium	vless	cb072ccc39d4c41d7b6ae9519d496c8c641028910c60a0cdcdf3a04dffefde0a
80	19	4	seed007	train	medium	seed007_medium	shadowsocks	cb072ccc39d4c41d7b6ae9519d496c8c641028910c60a0cdcdf3a04dffefde0a
81	20	1	seed007	train	heavy	seed007_heavy	direct	ae3cdefae6533222a3ae4e86723719c94f46fd7f8a26793c992b3c2ccae085ae
82	20	2	seed007	train	heavy	seed007_heavy	vless	ae3cdefae6533222a3ae4e86723719c94f46fd7f8a26793c992b3c2ccae085ae
83	20	3	seed007	train	heavy	seed007_heavy	shadowsocks	ae3cdefae6533222a3ae4e86723719c94f46fd7f8a26793c992b3c2ccae085ae
84	20	4	seed007	train	heavy	seed007_heavy	trojan	ae3cdefae6533222a3ae4e86723719c94f46fd7f8a26793c992b3c2ccae085ae
85	21	1	seed008	train	light	seed008_light	vless	8ac8da0c135768561121ece7495285baff9ba329503d8c008ab8257093baf2f4
86	21	2	seed008	train	light	seed008_light	shadowsocks	8ac8da0c135768561121ece7495285baff9ba329503d8c008ab8257093baf2f4
87	21	3	seed008	train	light	seed008_light	trojan	8ac8da0c135768561121ece7495285baff9ba329503d8c008ab8257093baf2f4
88	21	4	seed008	train	light	seed008_light	direct	8ac8da0c135768561121ece7495285baff9ba329503d8c008ab8257093baf2f4
89	22	1	seed008	train	medium	seed008_medium	shadowsocks	791efc26e8c63cedcd4353dcb1cb9e1c98964247cdaa3e16d9444c380839af50
90	22	2	seed008	train	medium	seed008_medium	trojan	791efc26e8c63cedcd4353dcb1cb9e1c98964247cdaa3e16d9444c380839af50
91	22	3	seed008	train	medium	seed008_medium	direct	791efc26e8c63cedcd4353dcb1cb9e1c98964247cdaa3e16d9444c380839af50
92	22	4	seed008	train	medium	seed008_medium	vless	791efc26e8c63cedcd4353dcb1cb9e1c98964247cdaa3e16d9444c380839af50
93	23	1	seed008	train	heavy	seed008_heavy	trojan	c9c40d06d68733965e38ed3d20cdaf5d266c355559adc66b3d30f23c6feaeb41
94	23	2	seed008	train	heavy	seed008_heavy	direct	c9c40d06d68733965e38ed3d20cdaf5d266c355559adc66b3d30f23c6feaeb41
95	23	3	seed008	train	heavy	seed008_heavy	vless	c9c40d06d68733965e38ed3d20cdaf5d266c355559adc66b3d30f23c6feaeb41
96	23	4	seed008	train	heavy	seed008_heavy	shadowsocks	c9c40d06d68733965e38ed3d20cdaf5d266c355559adc66b3d30f23c6feaeb41
97	24	1	seed009	train	light	seed009_light	direct	77c582f2567f095630cdff670f97436225269955e3066cd9609c84737cabde4c
98	24	2	seed009	train	light	seed009_light	vless	77c582f2567f095630cdff670f97436225269955e3066cd9609c84737cabde4c
99	24	3	seed009	train	light	seed009_light	shadowsocks	77c582f2567f095630cdff670f97436225269955e3066cd9609c84737cabde4c
100	24	4	seed009	train	light	seed009_light	trojan	77c582f2567f095630cdff670f97436225269955e3066cd9609c84737cabde4c
101	25	1	seed009	train	medium	seed009_medium	vless	a6f68257aa3e1b723b7d517a48a9e153988d6d3fec1dfdb57f8064701bae7f46
102	25	2	seed009	train	medium	seed009_medium	shadowsocks	a6f68257aa3e1b723b7d517a48a9e153988d6d3fec1dfdb57f8064701bae7f46
103	25	3	seed009	train	medium	seed009_medium	trojan	a6f68257aa3e1b723b7d517a48a9e153988d6d3fec1dfdb57f8064701bae7f46
104	25	4	seed009	train	medium	seed009_medium	direct	a6f68257aa3e1b723b7d517a48a9e153988d6d3fec1dfdb57f8064701bae7f46
105	26	1	seed009	train	heavy	seed009_heavy	shadowsocks	fab4fb9bfe895ada551379bc380998ba4ae8d90a63c81fb06bb5e90376aaf97f
106	26	2	seed009	train	heavy	seed009_heavy	trojan	fab4fb9bfe895ada551379bc380998ba4ae8d90a63c81fb06bb5e90376aaf97f
107	26	3	seed009	train	heavy	seed009_heavy	direct	fab4fb9bfe895ada551379bc380998ba4ae8d90a63c81fb06bb5e90376aaf97f
108	26	4	seed009	train	heavy	seed009_heavy	vless	fab4fb9bfe895ada551379bc380998ba4ae8d90a63c81fb06bb5e90376aaf97f
109	27	1	seed010	train	light	seed010_light	trojan	644701d3093d7e74c1b0fdd3b0fbd1e70d9569991879ff6cf52f1c56229d379d
110	27	2	seed010	train	light	seed010_light	direct	644701d3093d7e74c1b0fdd3b0fbd1e70d9569991879ff6cf52f1c56229d379d
111	27	3	seed010	train	light	seed010_light	vless	644701d3093d7e74c1b0fdd3b0fbd1e70d9569991879ff6cf52f1c56229d379d
112	27	4	seed010	train	light	seed010_light	shadowsocks	644701d3093d7e74c1b0fdd3b0fbd1e70d9569991879ff6cf52f1c56229d379d
113	28	1	seed010	train	medium	seed010_medium	direct	1e5527aff813583b03f67e18c7e9a9f6309695f99a746ef01bd7b6fe5f836628
114	28	2	seed010	train	medium	seed010_medium	vless	1e5527aff813583b03f67e18c7e9a9f6309695f99a746ef01bd7b6fe5f836628
115	28	3	seed010	train	medium	seed010_medium	shadowsocks	1e5527aff813583b03f67e18c7e9a9f6309695f99a746ef01bd7b6fe5f836628
116	28	4	seed010	train	medium	seed010_medium	trojan	1e5527aff813583b03f67e18c7e9a9f6309695f99a746ef01bd7b6fe5f836628
117	29	1	seed010	train	heavy	seed010_heavy	vless	a587f16fd9765a9fe78ce5f7b01100a73c76b5fc23265a0913d0eb237024f33a
118	29	2	seed010	train	heavy	seed010_heavy	shadowsocks	a587f16fd9765a9fe78ce5f7b01100a73c76b5fc23265a0913d0eb237024f33a
119	29	3	seed010	train	heavy	seed010_heavy	trojan	a587f16fd9765a9fe78ce5f7b01100a73c76b5fc23265a0913d0eb237024f33a
120	29	4	seed010	train	heavy	seed010_heavy	direct	a587f16fd9765a9fe78ce5f7b01100a73c76b5fc23265a0913d0eb237024f33a
121	30	1	seed011	train	light	seed011_light	shadowsocks	0806e6d8810eb392f55760fbc1779c6146166d6bf3b5f0d25c94684d7dae460e
122	30	2	seed011	train	light	seed011_light	trojan	0806e6d8810eb392f55760fbc1779c6146166d6bf3b5f0d25c94684d7dae460e
123	30	3	seed011	train	light	seed011_light	direct	0806e6d8810eb392f55760fbc1779c6146166d6bf3b5f0d25c94684d7dae460e
124	30	4	seed011	train	light	seed011_light	vless	0806e6d8810eb392f55760fbc1779c6146166d6bf3b5f0d25c94684d7dae460e
125	31	1	seed011	train	medium	seed011_medium	trojan	4444f4a51d1b2d9a5dd2a3d8d87e5ff4b82ba0f751a718ef73763cd8ae6e6d35
126	31	2	seed011	train	medium	seed011_medium	direct	4444f4a51d1b2d9a5dd2a3d8d87e5ff4b82ba0f751a718ef73763cd8ae6e6d35
127	31	3	seed011	train	medium	seed011_medium	vless	4444f4a51d1b2d9a5dd2a3d8d87e5ff4b82ba0f751a718ef73763cd8ae6e6d35
128	31	4	seed011	train	medium	seed011_medium	shadowsocks	4444f4a51d1b2d9a5dd2a3d8d87e5ff4b82ba0f751a718ef73763cd8ae6e6d35
129	32	1	seed011	train	heavy	seed011_heavy	direct	1b7aab569bb29e77a25e6fc229b43233418da5a7f4e5d68ff177c4bb0894390c
130	32	2	seed011	train	heavy	seed011_heavy	vless	1b7aab569bb29e77a25e6fc229b43233418da5a7f4e5d68ff177c4bb0894390c
131	32	3	seed011	train	heavy	seed011_heavy	shadowsocks	1b7aab569bb29e77a25e6fc229b43233418da5a7f4e5d68ff177c4bb0894390c
132	32	4	seed011	train	heavy	seed011_heavy	trojan	1b7aab569bb29e77a25e6fc229b43233418da5a7f4e5d68ff177c4bb0894390c
133	33	1	seed012	train	light	seed012_light	vless	8257aa049ab24901188984af5f2ff9ecaeb60c5fdad92cc6fb954583510e70fa
134	33	2	seed012	train	light	seed012_light	shadowsocks	8257aa049ab24901188984af5f2ff9ecaeb60c5fdad92cc6fb954583510e70fa
135	33	3	seed012	train	light	seed012_light	trojan	8257aa049ab24901188984af5f2ff9ecaeb60c5fdad92cc6fb954583510e70fa
136	33	4	seed012	train	light	seed012_light	direct	8257aa049ab24901188984af5f2ff9ecaeb60c5fdad92cc6fb954583510e70fa
137	34	1	seed012	train	medium	seed012_medium	shadowsocks	fa599b53c7f8ea1b9a86b1e753def8093b7cf7598054e9308407499411c7a534
138	34	2	seed012	train	medium	seed012_medium	trojan	fa599b53c7f8ea1b9a86b1e753def8093b7cf7598054e9308407499411c7a534
139	34	3	seed012	train	medium	seed012_medium	direct	fa599b53c7f8ea1b9a86b1e753def8093b7cf7598054e9308407499411c7a534
140	34	4	seed012	train	medium	seed012_medium	vless	fa599b53c7f8ea1b9a86b1e753def8093b7cf7598054e9308407499411c7a534
141	35	1	seed012	train	heavy	seed012_heavy	trojan	9d2e502c471394d6813b6b6db75bb10d091722a223d87d12cd848cbdcebbaa73
142	35	2	seed012	train	heavy	seed012_heavy	direct	9d2e502c471394d6813b6b6db75bb10d091722a223d87d12cd848cbdcebbaa73
143	35	3	seed012	train	heavy	seed012_heavy	vless	9d2e502c471394d6813b6b6db75bb10d091722a223d87d12cd848cbdcebbaa73
144	35	4	seed012	train	heavy	seed012_heavy	shadowsocks	9d2e502c471394d6813b6b6db75bb10d091722a223d87d12cd848cbdcebbaa73
145	36	1	seed013	train	light	seed013_light	direct	e4a6724b08252b9e00a7f4d1d61895c654891db3feaa7718ce9d970d24b063a7
146	36	2	seed013	train	light	seed013_light	vless	e4a6724b08252b9e00a7f4d1d61895c654891db3feaa7718ce9d970d24b063a7
147	36	3	seed013	train	light	seed013_light	shadowsocks	e4a6724b08252b9e00a7f4d1d61895c654891db3feaa7718ce9d970d24b063a7
148	36	4	seed013	train	light	seed013_light	trojan	e4a6724b08252b9e00a7f4d1d61895c654891db3feaa7718ce9d970d24b063a7
149	37	1	seed013	train	medium	seed013_medium	vless	37f2a8eafa9165830096bc94009b26212f36f35c5e9e7629b4983dc7ef91f62c
150	37	2	seed013	train	medium	seed013_medium	shadowsocks	37f2a8eafa9165830096bc94009b26212f36f35c5e9e7629b4983dc7ef91f62c
151	37	3	seed013	train	medium	seed013_medium	trojan	37f2a8eafa9165830096bc94009b26212f36f35c5e9e7629b4983dc7ef91f62c
152	37	4	seed013	train	medium	seed013_medium	direct	37f2a8eafa9165830096bc94009b26212f36f35c5e9e7629b4983dc7ef91f62c
153	38	1	seed013	train	heavy	seed013_heavy	shadowsocks	ca765cbcd60932f9b1dc4d10def846f4b43a7077f036677946fc6795e6bd7773
154	38	2	seed013	train	heavy	seed013_heavy	trojan	ca765cbcd60932f9b1dc4d10def846f4b43a7077f036677946fc6795e6bd7773
155	38	3	seed013	train	heavy	seed013_heavy	direct	ca765cbcd60932f9b1dc4d10def846f4b43a7077f036677946fc6795e6bd7773
156	38	4	seed013	train	heavy	seed013_heavy	vless	ca765cbcd60932f9b1dc4d10def846f4b43a7077f036677946fc6795e6bd7773
157	39	1	seed014	train	light	seed014_light	trojan	662d9de37cf60f885468e2109ef94bf871c6198bc8879d9af27ef05a461b2965
158	39	2	seed014	train	light	seed014_light	direct	662d9de37cf60f885468e2109ef94bf871c6198bc8879d9af27ef05a461b2965
159	39	3	seed014	train	light	seed014_light	vless	662d9de37cf60f885468e2109ef94bf871c6198bc8879d9af27ef05a461b2965
160	39	4	seed014	train	light	seed014_light	shadowsocks	662d9de37cf60f885468e2109ef94bf871c6198bc8879d9af27ef05a461b2965
161	40	1	seed014	train	medium	seed014_medium	direct	bb35db24bd0342e6d52d7d201b53989ce6d1573bd7c4f7c9de8fe2358e423fee
162	40	2	seed014	train	medium	seed014_medium	vless	bb35db24bd0342e6d52d7d201b53989ce6d1573bd7c4f7c9de8fe2358e423fee
163	40	3	seed014	train	medium	seed014_medium	shadowsocks	bb35db24bd0342e6d52d7d201b53989ce6d1573bd7c4f7c9de8fe2358e423fee
164	40	4	seed014	train	medium	seed014_medium	trojan	bb35db24bd0342e6d52d7d201b53989ce6d1573bd7c4f7c9de8fe2358e423fee
165	41	1	seed014	train	heavy	seed014_heavy	vless	0aa6fe37bc140f01e5de1fbc0ae7052bfd37c38528a9b5ee17dcf45275fa3c82
166	41	2	seed014	train	heavy	seed014_heavy	shadowsocks	0aa6fe37bc140f01e5de1fbc0ae7052bfd37c38528a9b5ee17dcf45275fa3c82
167	41	3	seed014	train	heavy	seed014_heavy	trojan	0aa6fe37bc140f01e5de1fbc0ae7052bfd37c38528a9b5ee17dcf45275fa3c82
168	41	4	seed014	train	heavy	seed014_heavy	direct	0aa6fe37bc140f01e5de1fbc0ae7052bfd37c38528a9b5ee17dcf45275fa3c82
169	42	1	seed015	train	light	seed015_light	shadowsocks	2afdb056f890fab4820a712bcc29d18116cdc0b8a9074a9b7b2d710754b4a6d2
170	42	2	seed015	train	light	seed015_light	trojan	2afdb056f890fab4820a712bcc29d18116cdc0b8a9074a9b7b2d710754b4a6d2
171	42	3	seed015	train	light	seed015_light	direct	2afdb056f890fab4820a712bcc29d18116cdc0b8a9074a9b7b2d710754b4a6d2
172	42	4	seed015	train	light	seed015_light	vless	2afdb056f890fab4820a712bcc29d18116cdc0b8a9074a9b7b2d710754b4a6d2
173	43	1	seed015	train	medium	seed015_medium	trojan	61a520bcbb34dc5347161107e6849ad7f9cc0ca64d174482fafe4f22766bf33f
174	43	2	seed015	train	medium	seed015_medium	direct	61a520bcbb34dc5347161107e6849ad7f9cc0ca64d174482fafe4f22766bf33f
175	43	3	seed015	train	medium	seed015_medium	vless	61a520bcbb34dc5347161107e6849ad7f9cc0ca64d174482fafe4f22766bf33f
176	43	4	seed015	train	medium	seed015_medium	shadowsocks	61a520bcbb34dc5347161107e6849ad7f9cc0ca64d174482fafe4f22766bf33f
177	44	1	seed015	train	heavy	seed015_heavy	direct	003e5e96b16b9abca2a7bf2163b5d4e563eddd850901fe3c9e0fea8267741c96
178	44	2	seed015	train	heavy	seed015_heavy	vless	003e5e96b16b9abca2a7bf2163b5d4e563eddd850901fe3c9e0fea8267741c96
179	44	3	seed015	train	heavy	seed015_heavy	shadowsocks	003e5e96b16b9abca2a7bf2163b5d4e563eddd850901fe3c9e0fea8267741c96
180	44	4	seed015	train	heavy	seed015_heavy	trojan	003e5e96b16b9abca2a7bf2163b5d4e563eddd850901fe3c9e0fea8267741c96
181	45	1	seed016	train	light	seed016_light	vless	a489707f0ad4d86d7d050b748606dcab0fdd77dd3d6a4361941f0035454801e6
182	45	2	seed016	train	light	seed016_light	shadowsocks	a489707f0ad4d86d7d050b748606dcab0fdd77dd3d6a4361941f0035454801e6
183	45	3	seed016	train	light	seed016_light	trojan	a489707f0ad4d86d7d050b748606dcab0fdd77dd3d6a4361941f0035454801e6
184	45	4	seed016	train	light	seed016_light	direct	a489707f0ad4d86d7d050b748606dcab0fdd77dd3d6a4361941f0035454801e6
185	46	1	seed016	train	medium	seed016_medium	shadowsocks	2147cef8fddbcf0218e50cf54ac99ecad31ec343d41a6ff0d3de0d618ded4952
186	46	2	seed016	train	medium	seed016_medium	trojan	2147cef8fddbcf0218e50cf54ac99ecad31ec343d41a6ff0d3de0d618ded4952
187	46	3	seed016	train	medium	seed016_medium	direct	2147cef8fddbcf0218e50cf54ac99ecad31ec343d41a6ff0d3de0d618ded4952
188	46	4	seed016	train	medium	seed016_medium	vless	2147cef8fddbcf0218e50cf54ac99ecad31ec343d41a6ff0d3de0d618ded4952
189	47	1	seed016	train	heavy	seed016_heavy	trojan	ee0a03dadd03aca39e46e2b902810972eb5fe59f572414d9bd077c4710be5ee5
190	47	2	seed016	train	heavy	seed016_heavy	direct	ee0a03dadd03aca39e46e2b902810972eb5fe59f572414d9bd077c4710be5ee5
191	47	3	seed016	train	heavy	seed016_heavy	vless	ee0a03dadd03aca39e46e2b902810972eb5fe59f572414d9bd077c4710be5ee5
192	47	4	seed016	train	heavy	seed016_heavy	shadowsocks	ee0a03dadd03aca39e46e2b902810972eb5fe59f572414d9bd077c4710be5ee5
193	48	1	seed017	train	light	seed017_light	direct	a6d3160e88e2c22c4d4e116e128f634c53ea8d01307c1fc15f06ca225a097352
194	48	2	seed017	train	light	seed017_light	vless	a6d3160e88e2c22c4d4e116e128f634c53ea8d01307c1fc15f06ca225a097352
195	48	3	seed017	train	light	seed017_light	shadowsocks	a6d3160e88e2c22c4d4e116e128f634c53ea8d01307c1fc15f06ca225a097352
196	48	4	seed017	train	light	seed017_light	trojan	a6d3160e88e2c22c4d4e116e128f634c53ea8d01307c1fc15f06ca225a097352
197	49	1	seed017	train	medium	seed017_medium	vless	c0909d20fb4c4f53d03ad95a97cff06b97f77f7ab976269f669e45dfaa274579
198	49	2	seed017	train	medium	seed017_medium	shadowsocks	c0909d20fb4c4f53d03ad95a97cff06b97f77f7ab976269f669e45dfaa274579
199	49	3	seed017	train	medium	seed017_medium	trojan	c0909d20fb4c4f53d03ad95a97cff06b97f77f7ab976269f669e45dfaa274579
