domain_id	rank	domain	rank_bucket	source_list_id	source_sha256	syntax_eligible	reachability_eligible	main_http_status	main_commit_success	main_commit_latency_ms	warning_count	audit_timestamp	attempt1_status	attempt1_commit_success	attempt1_commit_latency_ms	attempt1_warning_count	attempt1_error	attempt2_status	attempt2_commit_success	attempt2_commit_latency_ms	attempt2_warning_count	attempt2_error	attempt3_status	attempt3_commit_success	attempt3_commit_latency_ms	attempt3_warning_count	attempt3_error	attempt4_status	attempt4_commit_success	attempt4_commit_latency_ms	attempt4_warning_count	attempt4_error	rate_limit_429_count	hard_failure_count	warning_count	replay_stable	audit_timestamp
domain0022	67	ntp.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3497	0	2026-08-29T05:26:33Z	200	true	2235	0		200	true	3993	0		200	true	2240	0		200	true	5977	0		0	0	0	true	2026-08-29T05:26:33Z
domain0023	71	wa.me	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1164	4	2026-08-29T05:26:37Z	0	false	1606	1	"Error: Page.goto: net::ERR_CONNECTION_RESET at https://wa.me/
Call log:
  - navigating to ""https://wa.me/"", waiting until ""commit""
"	0	false	1616	1	"Error: Page.goto: net::ERR_CONNECTION_RESET at https://wa.me/
Call log:
  - navigating to ""https://wa.me/"", waiting until ""commit""
"	0	false	1405	1	"Error: Page.goto: net::ERR_CONNECTION_RESET at https://wa.me/
Call log:
  - navigating to ""https://wa.me/"", waiting until ""commit""
"	0	false	3041	1	"Error: Page.goto: net::ERR_CONNECTION_RESET at https://wa.me/
Call log:
  - navigating to ""https://wa.me/"", waiting until ""commit""
"	0	4	4	false	2026-08-29T05:26:37Z
domain0024	73	nginx.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	820	0	2026-08-29T05:26:35Z	200	true	1008	0		200	true	817	0		200	true	786	0		200	true	812	0		0	0	0	true	2026-08-29T05:26:35Z
domain0025	77	zoom.us	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4826	14	2026-08-29T05:27:23Z	200	true	10296	4		200	true	14784	4		200	true	10626	3		200	true	10775	3		0	0	14	true	2026-08-29T05:27:23Z
domain0026	81	baidu.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	369	1	2026-08-29T05:27:34Z	200	true	1028	0		200	true	1081	0		200	true	22055	0		0	false	30006	1	"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://baidu.com/"", waiting until ""commit""
"	0	1	1	false	2026-08-29T05:27:34Z
domain0027	85	windows.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	6466	0	2026-08-29T05:27:22Z	200	true	7362	0		200	true	8474	0		200	true	9417	0		200	true	8659	0		0	0	0	true	2026-08-29T05:27:22Z
domain0028	91	qq.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	411	8	2026-08-29T05:26:58Z	200	true	1748	2		200	true	1957	2		200	true	1814	2		200	true	1586	2		0	0	8	true	2026-08-29T05:26:58Z
domain0029	93	samsung.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3022	0	2026-08-29T05:27:03Z	200	true	3527	0		200	true	2200	0		200	true	2965	0		200	true	1999	0		0	0	0	true	2026-08-29T05:27:03Z
domain0030	95	mozilla.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3086	0	2026-08-29T05:27:23Z	200	true	4271	0		200	true	6714	0		200	true	4130	0		200	true	10092	0		0	0	0	true	2026-08-29T05:27:23Z
domain0031	96	nginx.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5256	2	2026-08-29T05:27:54Z	200	true	7454	0		200	true	13619	1		200	true	5435	0		200	true	13602	1		0	0	2	true	2026-08-29T05:27:54Z
domain0032	97	wordpress.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2531	0	2026-08-29T05:27:33Z	200	true	3992	0		200	true	3923	0		200	true	6210	0		200	true	5279	0		0	0	0	true	2026-08-29T05:27:33Z
domain0033	100	yandex.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4560	8	2026-08-29T05:28:15Z	200	true	12708	2		200	true	13793	0		200	true	15186	3		200	true	16340	3		0	0	8	true	2026-08-29T05:28:15Z
domain0034	102	nic.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1267	0	2026-08-29T05:27:25Z	200	true	1816	0		200	true	2191	0		200	true	1368	0		200	true	1190	0		0	0	0	true	2026-08-29T05:27:25Z
domain0035	103	sentry.io	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2085	0	2026-08-29T05:28:02Z	200	true	4608	0		200	true	5602	0		200	true	7756	0		200	true	5760	0		0	0	0	true	2026-08-29T05:28:02Z
domain0036	104	achmea.nl	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4149	4	2026-08-29T05:28:30Z	200	true	14603	1		200	true	12267	1		200	true	12061	1		200	true	12322	1		0	0	4	true	2026-08-29T05:28:30Z
domain0037	106	ui.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1163	0	2026-08-29T05:27:57Z	200	true	3249	0		200	true	3112	0		200	true	3545	0		200	true	7616	0		0	0	0	true	2026-08-29T05:27:57Z
domain0038	110	b-cdn.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2701	12	2026-08-29T05:28:06Z	200	true	5327	3		200	true	4564	3		200	true	8128	3		200	true	7275	3		0	0	12	true	2026-08-29T05:28:06Z
domain0039	111	outlook.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3792	1	2026-08-29T05:28:30Z	200	true	6180	0		200	true	13305	1		200	true	10600	0		200	true	10290	0		0	0	1	true	2026-08-29T05:28:30Z
domain0040	112	bit.ly	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	996	1	2026-08-29T05:28:18Z	200	true	6764	1		200	true	7329	0		200	true	6940	0		200	true	7563	0		0	0	1	true	2026-08-29T05:28:18Z
domain0041	114	europa.eu	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2246	4	2026-08-29T05:28:51Z	200	true	11691	1		200	true	9314	1		200	true	11234	1		200	true	9256	1		0	0	4	true	2026-08-29T05:28:51Z
domain0042	117	registrar-servers.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	985	0	2026-08-29T05:28:20Z	200	true	3047	0		200	true	1150	0		200	true	1794	0		200	true	1539	0		0	0	0	true	2026-08-29T05:28:20Z
domain0043	118	vk.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3221	4	2026-08-29T05:29:12Z	200	true	12526	1		200	true	14945	1		200	true	13773	1		200	true	13577	1		0	0	4	true	2026-08-29T05:29:12Z
domain0044	121	afternic.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2647	0	2026-08-29T05:28:39Z	200	true	5983	0		200	true	3707	0		200	true	3738	0		200	true	4070	0		0	0	0	true	2026-08-29T05:28:39Z
domain0045	122	github.io	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3168	2	2026-08-29T05:29:08Z	200	true	15324	1		200	true	5007	0		200	true	13037	1		200	true	3277	0		0	0	2	true	2026-08-29T05:29:08Z
domain0046	123	criteo.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1090	4	2026-08-29T05:29:05Z	200	true	7406	1		200	true	6906	1		200	true	5102	1		200	true	11527	1		0	0	4	true	2026-08-29T05:29:05Z
domain0047	124	f5.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3278	2	2026-08-29T05:29:12Z	200	true	12316	1		200	true	13232	1		200	true	8241	0		200	true	3115	0		0	0	2	true	2026-08-29T05:29:12Z
domain0048	125	amazonvideo.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3871	0	2026-08-29T05:29:10Z	200	true	8900	0		200	true	5955	0		200	true	4512	0		200	true	5514	0		0	0	0	true	2026-08-29T05:29:10Z
domain0049	127	apache.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	890	1	2026-08-29T05:29:16Z	200	true	12497	1		200	true	2060	0		200	true	6972	0		200	true	8925	0		0	0	1	true	2026-08-29T05:29:16Z
domain0050	142	kaspersky.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	8283	0	2026-08-29T05:29:15Z	200	true	6237	0		200	true	3676	0		200	true	5296	0		200	true	5179	0		0	0	0	true	2026-08-29T05:29:15Z
domain0051	145	intuit.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4155	0	2026-08-29T05:29:20Z	429	true	3733	0	RuntimeError: unacceptable main HTTP status: 429	429	true	3697	0	RuntimeError: unacceptable main HTTP status: 429	429	true	3402	0	RuntimeError: unacceptable main HTTP status: 429	429	true	3058	0	RuntimeError: unacceptable main HTTP status: 429	4	4	0	false	2026-08-29T05:29:20Z
domain0052	151	reg.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	987	0	2026-08-29T05:29:26Z	200	true	1262	0		200	true	1016	0		200	true	1476	0		200	true	2100	0		0	0	0	true	2026-08-29T05:29:26Z
domain0053	155	xiaomi.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	605	0	2026-08-29T05:29:27Z	200	true	482	0		200	true	1441	0		200	true	1029	0		200	true	641	0		0	0	0	true	2026-08-29T05:29:27Z
domain0054	162	one.one	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3121	0	2026-08-29T05:29:37Z	200	true	2921	0		200	true	2642	0		200	true	2423	0		200	true	3637	0		0	0	0	true	2026-08-29T05:29:37Z
domain0055	167	applovin.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2306	0	2026-08-29T05:29:44Z	200	true	4710	0		200	true	4726	0		200	true	3425	0		200	true	4196	0		0	0	0	true	2026-08-29T05:29:44Z
domain0056	173	vk.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2366	3	2026-08-29T05:30:07Z	200	true	11500	1		200	true	12318	1		200	true	13174	1		200	true	2624	0		0	0	3	true	2026-08-29T05:30:07Z
domain0057	174	shopify.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1899	0	2026-08-29T05:29:38Z	200	true	2395	0		200	true	1607	0		200	true	1586	0		200	true	1815	0		0	0	0	true	2026-08-29T05:29:38Z
domain0058	176	mts.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	13655	4	2026-08-29T05:30:49Z	200	true	17541	1		200	true	15648	1		200	true	28027	1		200	true	15872	1		0	0	4	true	2026-08-29T05:30:49Z
domain0059	178	adobe.io	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3762	0	2026-08-29T05:30:05Z	200	true	6259	0		200	true	9618	0		200	true	4829	0		200	true	7909	0		0	0	0	true	2026-08-29T05:30:05Z
domain0060	183	example.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1036	0	2026-08-29T05:29:45Z	200	true	1028	0		200	true	767	0		200	true	779	0		200	true	790	0		0	0	0	true	2026-08-29T05:29:45Z
domain0061	186	w3.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1078	0	2026-08-29T05:29:49Z	200	true	1970	0		200	true	1530	0		200	true	1658	0		200	true	1831	0		0	0	0	true	2026-08-29T05:29:49Z
domain0062	191	cnn.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4461	0	2026-08-29T05:30:02Z	200	true	2498	0		200	true	1954	0		200	true	3001	0		200	true	2125	0		0	0	0	true	2026-08-29T05:30:02Z
domain0063	192	rubiconproject.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5068	4	2026-08-29T05:30:50Z	200	true	14157	1		200	true	16046	1		200	true	12770	1		200	true	14056	1		0	0	4	true	2026-08-29T05:30:50Z
domain0064	197	creativecommons.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1365	8	2026-08-29T05:30:14Z	200	true	2532	2		200	true	3723	2		200	true	4287	2		200	true	3437	2		0	0	8	true	2026-08-29T05:30:14Z
domain0065	198	lencr.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3448	4	2026-08-29T05:30:07Z	200	true	1824	1		200	true	1716	1		200	true	1562	1		200	true	1500	1		0	0	4	true	2026-08-29T05:30:07Z
domain0066	201	taboola.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5241	4	2026-08-29T05:30:58Z	200	true	13042	1		200	true	14690	1		200	true	12579	1		200	true	12625	1		0	0	4	true	2026-08-29T05:30:58Z
domain0067	206	doi.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2120	4	2026-08-29T05:31:03Z	200	true	11439	1		200	true	11478	1		200	true	11095	1		200	true	11537	1		0	0	4	true	2026-08-29T05:31:03Z
domain0068	207	miui.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	295	0	2026-08-29T05:30:26Z	200	true	1508	0		200	true	908	0		200	true	1655	0		200	true	1515	0		0	0	0	true	2026-08-29T05:30:26Z
domain0069	211	t-online.de	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2919	2	2026-08-29T05:31:06Z	200	true	11502	1		200	true	13118	1		200	true	9159	0		200	true	9670	0		0	0	2	true	2026-08-29T05:31:06Z
domain0070	213	adsafeprotected.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4088	0	2026-08-29T05:30:34Z	200	true	3242	0		200	true	2202	0		200	true	2356	0		200	true	3004	0		0	0	0	true	2026-08-29T05:30:34Z
domain0071	216	pages.dev	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3344	0	2026-08-29T05:30:53Z	200	true	6685	0		200	true	5255	0		200	true	4714	0		200	true	6411	0		0	0	0	true	2026-08-29T05:30:53Z
domain0072	217	mit.edu	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3113	0	2026-08-29T05:31:22Z	200	true	10740	0		200	true	9647	0		200	true	12198	0		200	true	8324	0		0	0	0	true	2026-08-29T05:31:22Z
domain0073	218	cpanel.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3383	4	2026-08-29T05:31:05Z	200	true	3879	1		200	true	4321	1		200	true	3872	1		200	true	4152	1		0	0	4	true	2026-08-29T05:31:05Z
domain0074	227	nist.gov	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1979	1	2026-08-29T05:31:26Z	200	true	5692	1		200	true	4887	0		200	true	5956	0		200	true	4975	0		0	0	1	true	2026-08-29T05:31:26Z
domain0075	233	ubuntu.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1548	1	2026-08-29T05:31:40Z	200	true	11442	1		200	true	8815	0		200	true	8062	0		200	true	6129	0		0	0	1	true	2026-08-29T05:31:40Z
domain0076	234	userapi.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4237	0	2026-08-29T05:31:20Z	200	true	3522	0		200	true	2846	0		200	true	2847	0		200	true	3150	0		0	0	0	true	2026-08-29T05:31:20Z
domain0077	238	stripe.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	901	1	2026-08-29T05:31:32Z	200	true	2113	0		200	true	3750	0		200	true	10836	1		200	true	2250	0		0	0	1	true	2026-08-29T05:31:32Z
domain0078	240	pubmatic.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	1196	0	2026-08-29T05:31:25Z	202	true	2043	0		202	true	1473	0		202	true	1143	0		202	true	1552	0		0	0	0	true	2026-08-29T05:31:25Z
domain0079	246	cisco.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3437	0	2026-08-29T05:31:49Z	200	true	6862	0		200	true	7802	0		200	true	5933	0		200	true	7932	0		0	0	0	true	2026-08-29T05:31:49Z
domain0080	250	hubspot.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2675	0	2026-08-29T05:31:39Z	200	true	5807	0		200	true	3835	0		200	true	4807	0		200	true	3286	0		0	0	0	true	2026-08-29T05:31:39Z
domain0081	251	adsrvr.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	6222	0	2026-08-29T05:32:01Z	200	true	4025	0		200	true	5422	0		200	true	4436	0		200	true	11250	0		0	0	0	true	2026-08-29T05:32:01Z
domain0082	252	who.int	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2632	4	2026-08-29T05:32:28Z	200	true	12504	1		200	true	12402	1		200	true	12019	1		200	true	12630	1		0	0	4	true	2026-08-29T05:32:28Z
