schedule_id	sequence_id	quartet_index	mode_position	seed	seed_assignment_id	split	intensity	pair_group_id	plan_id	mode_order	plan_path	plan_sha256
formal_t0_v3_sample0016	16	3	4	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_light_workload_plan.json	5722d20a968e9aa9d924a6e7e2f1cd8fe906761f5b4a1e6bf2db0add9dabf3a9
formal_t0_v3_sample0017	17	4	1	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_medium_workload_plan.json	db6f99f26c1756b69376c4bfcf79f578380be15f95b47502d9ef408dc5ff2f05
formal_t0_v3_sample0018	18	4	2	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_medium_workload_plan.json	db6f99f26c1756b69376c4bfcf79f578380be15f95b47502d9ef408dc5ff2f05
formal_t0_v3_sample0019	19	4	3	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_medium_workload_plan.json	db6f99f26c1756b69376c4bfcf79f578380be15f95b47502d9ef408dc5ff2f05
formal_t0_v3_sample0020	20	4	4	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_medium_workload_plan.json	db6f99f26c1756b69376c4bfcf79f578380be15f95b47502d9ef408dc5ff2f05
formal_t0_v3_sample0021	21	5	1	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_heavy_workload_plan.json	589901df181ea647dd2e2360689d592495ad8ace1e3af12cb6f0ff2e03b0a68d
formal_t0_v3_sample0022	22	5	2	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_heavy_workload_plan.json	589901df181ea647dd2e2360689d592495ad8ace1e3af12cb6f0ff2e03b0a68d
formal_t0_v3_sample0023	23	5	3	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_heavy_workload_plan.json	589901df181ea647dd2e2360689d592495ad8ace1e3af12cb6f0ff2e03b0a68d
formal_t0_v3_sample0024	24	5	4	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_heavy_workload_plan.json	589901df181ea647dd2e2360689d592495ad8ace1e3af12cb6f0ff2e03b0a68d
formal_t0_v3_sample0025	25	6	1	seed003	train003	train	light	seed003_light	formal_t0_v3_seed003_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_light_workload_plan.json	267f19e9b5a7c61c383a4923b3cc8babf068ae0336f86aa7f361df6ffc060e18
formal_t0_v3_sample0026	26	6	2	seed003	train003	train	light	seed003_light	formal_t0_v3_seed003_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_light_workload_plan.json	267f19e9b5a7c61c383a4923b3cc8babf068ae0336f86aa7f361df6ffc060e18
formal_t0_v3_sample0027	27	6	3	seed003	train003	train	light	seed003_light	formal_t0_v3_seed003_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_light_workload_plan.json	267f19e9b5a7c61c383a4923b3cc8babf068ae0336f86aa7f361df6ffc060e18
formal_t0_v3_sample0028	28	6	4	seed003	train003	train	light	seed003_light	formal_t0_v3_seed003_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_light_workload_plan.json	267f19e9b5a7c61c383a4923b3cc8babf068ae0336f86aa7f361df6ffc060e18
formal_t0_v3_sample0029	29	7	1	seed003	train003	train	medium	seed003_medium	formal_t0_v3_seed003_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_medium_workload_plan.json	3b5fd3af6790d6074073fb71c77edc24d35c54aa653a9ee5b15a6c63cf0d3623
formal_t0_v3_sample0030	30	7	2	seed003	train003	train	medium	seed003_medium	formal_t0_v3_seed003_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_medium_workload_plan.json	3b5fd3af6790d6074073fb71c77edc24d35c54aa653a9ee5b15a6c63cf0d3623
formal_t0_v3_sample0031	31	7	3	seed003	train003	train	medium	seed003_medium	formal_t0_v3_seed003_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_medium_workload_plan.json	3b5fd3af6790d6074073fb71c77edc24d35c54aa653a9ee5b15a6c63cf0d3623
formal_t0_v3_sample0032	32	7	4	seed003	train003	train	medium	seed003_medium	formal_t0_v3_seed003_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_medium_workload_plan.json	3b5fd3af6790d6074073fb71c77edc24d35c54aa653a9ee5b15a6c63cf0d3623
formal_t0_v3_sample0033	33	8	1	seed003	train003	train	heavy	seed003_heavy	formal_t0_v3_seed003_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_heavy_workload_plan.json	409ea383a0b7d2d65afc62f1f8a1ddbc393d3487d8efb2d8555eb320ba7292f5
formal_t0_v3_sample0034	34	8	2	seed003	train003	train	heavy	seed003_heavy	formal_t0_v3_seed003_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_heavy_workload_plan.json	409ea383a0b7d2d65afc62f1f8a1ddbc393d3487d8efb2d8555eb320ba7292f5
formal_t0_v3_sample0035	35	8	3	seed003	train003	train	heavy	seed003_heavy	formal_t0_v3_seed003_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_heavy_workload_plan.json	409ea383a0b7d2d65afc62f1f8a1ddbc393d3487d8efb2d8555eb320ba7292f5
formal_t0_v3_sample0036	36	8	4	seed003	train003	train	heavy	seed003_heavy	formal_t0_v3_seed003_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed003_heavy_workload_plan.json	409ea383a0b7d2d65afc62f1f8a1ddbc393d3487d8efb2d8555eb320ba7292f5
formal_t0_v3_sample0037	37	9	1	seed004	train004	train	light	seed004_light	formal_t0_v3_seed004_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_light_workload_plan.json	995af78671fe956ea1c0cb6795bd3e340b32ff9fe3753735f3817276f1c8d747
formal_t0_v3_sample0038	38	9	2	seed004	train004	train	light	seed004_light	formal_t0_v3_seed004_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_light_workload_plan.json	995af78671fe956ea1c0cb6795bd3e340b32ff9fe3753735f3817276f1c8d747
formal_t0_v3_sample0039	39	9	3	seed004	train004	train	light	seed004_light	formal_t0_v3_seed004_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_light_workload_plan.json	995af78671fe956ea1c0cb6795bd3e340b32ff9fe3753735f3817276f1c8d747
formal_t0_v3_sample0040	40	9	4	seed004	train004	train	light	seed004_light	formal_t0_v3_seed004_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_light_workload_plan.json	995af78671fe956ea1c0cb6795bd3e340b32ff9fe3753735f3817276f1c8d747
formal_t0_v3_sample0041	41	10	1	seed004	train004	train	medium	seed004_medium	formal_t0_v3_seed004_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_medium_workload_plan.json	a30a5fdbbe70182441fe5596739416fcd810d3d66465d4fa0e7a56009feca347
formal_t0_v3_sample0042	42	10	2	seed004	train004	train	medium	seed004_medium	formal_t0_v3_seed004_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_medium_workload_plan.json	a30a5fdbbe70182441fe5596739416fcd810d3d66465d4fa0e7a56009feca347
formal_t0_v3_sample0043	43	10	3	seed004	train004	train	medium	seed004_medium	formal_t0_v3_seed004_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_medium_workload_plan.json	a30a5fdbbe70182441fe5596739416fcd810d3d66465d4fa0e7a56009feca347
formal_t0_v3_sample0044	44	10	4	seed004	train004	train	medium	seed004_medium	formal_t0_v3_seed004_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_medium_workload_plan.json	a30a5fdbbe70182441fe5596739416fcd810d3d66465d4fa0e7a56009feca347
formal_t0_v3_sample0045	45	11	1	seed004	train004	train	heavy	seed004_heavy	formal_t0_v3_seed004_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_heavy_workload_plan.json	263872eb3cb1164b9e073a10b654788ebe973fa7ab3138760cb29bc1ca6a049e
formal_t0_v3_sample0046	46	11	2	seed004	train004	train	heavy	seed004_heavy	formal_t0_v3_seed004_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_heavy_workload_plan.json	263872eb3cb1164b9e073a10b654788ebe973fa7ab3138760cb29bc1ca6a049e
formal_t0_v3_sample0047	47	11	3	seed004	train004	train	heavy	seed004_heavy	formal_t0_v3_seed004_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_heavy_workload_plan.json	263872eb3cb1164b9e073a10b654788ebe973fa7ab3138760cb29bc1ca6a049e
formal_t0_v3_sample0048	48	11	4	seed004	train004	train	heavy	seed004_heavy	formal_t0_v3_seed004_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed004_heavy_workload_plan.json	263872eb3cb1164b9e073a10b654788ebe973fa7ab3138760cb29bc1ca6a049e
formal_t0_v3_sample0049	49	12	1	seed005	train005	train	light	seed005_light	formal_t0_v3_seed005_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_light_workload_plan.json	2768c28285f682e9e19f5a7fef1af1a6ffa051a3a1758814598d4ebf8f636232
formal_t0_v3_sample0050	50	12	2	seed005	train005	train	light	seed005_light	formal_t0_v3_seed005_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_light_workload_plan.json	2768c28285f682e9e19f5a7fef1af1a6ffa051a3a1758814598d4ebf8f636232
formal_t0_v3_sample0051	51	12	3	seed005	train005	train	light	seed005_light	formal_t0_v3_seed005_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_light_workload_plan.json	2768c28285f682e9e19f5a7fef1af1a6ffa051a3a1758814598d4ebf8f636232
formal_t0_v3_sample0052	52	12	4	seed005	train005	train	light	seed005_light	formal_t0_v3_seed005_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_light_workload_plan.json	2768c28285f682e9e19f5a7fef1af1a6ffa051a3a1758814598d4ebf8f636232
formal_t0_v3_sample0053	53	13	1	seed005	train005	train	medium	seed005_medium	formal_t0_v3_seed005_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_medium_workload_plan.json	f2572311f6d0930d29f27dca231183b1e7aa4ba3bf3def58647bca530769f402
formal_t0_v3_sample0054	54	13	2	seed005	train005	train	medium	seed005_medium	formal_t0_v3_seed005_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_medium_workload_plan.json	f2572311f6d0930d29f27dca231183b1e7aa4ba3bf3def58647bca530769f402
formal_t0_v3_sample0055	55	13	3	seed005	train005	train	medium	seed005_medium	formal_t0_v3_seed005_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_medium_workload_plan.json	f2572311f6d0930d29f27dca231183b1e7aa4ba3bf3def58647bca530769f402
formal_t0_v3_sample0056	56	13	4	seed005	train005	train	medium	seed005_medium	formal_t0_v3_seed005_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_medium_workload_plan.json	f2572311f6d0930d29f27dca231183b1e7aa4ba3bf3def58647bca530769f402
formal_t0_v3_sample0057	57	14	1	seed005	train005	train	heavy	seed005_heavy	formal_t0_v3_seed005_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_heavy_workload_plan.json	dc698aa7981fe016fd3af628166c26f5f039603084eca90f5ad768800681c9e7
formal_t0_v3_sample0058	58	14	2	seed005	train005	train	heavy	seed005_heavy	formal_t0_v3_seed005_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_heavy_workload_plan.json	dc698aa7981fe016fd3af628166c26f5f039603084eca90f5ad768800681c9e7
formal_t0_v3_sample0059	59	14	3	seed005	train005	train	heavy	seed005_heavy	formal_t0_v3_seed005_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_heavy_workload_plan.json	dc698aa7981fe016fd3af628166c26f5f039603084eca90f5ad768800681c9e7
formal_t0_v3_sample0060	60	14	4	seed005	train005	train	heavy	seed005_heavy	formal_t0_v3_seed005_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed005_heavy_workload_plan.json	dc698aa7981fe016fd3af628166c26f5f039603084eca90f5ad768800681c9e7
formal_t0_v3_sample0061	61	15	1	seed006	train006	train	light	seed006_light	formal_t0_v3_seed006_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_light_workload_plan.json	dd163c3ae8015b4a774efce13f250044040b254d6f80b50c8a31e3a3fa1792fe
formal_t0_v3_sample0062	62	15	2	seed006	train006	train	light	seed006_light	formal_t0_v3_seed006_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_light_workload_plan.json	dd163c3ae8015b4a774efce13f250044040b254d6f80b50c8a31e3a3fa1792fe
formal_t0_v3_sample0063	63	15	3	seed006	train006	train	light	seed006_light	formal_t0_v3_seed006_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_light_workload_plan.json	dd163c3ae8015b4a774efce13f250044040b254d6f80b50c8a31e3a3fa1792fe
formal_t0_v3_sample0064	64	15	4	seed006	train006	train	light	seed006_light	formal_t0_v3_seed006_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_light_workload_plan.json	dd163c3ae8015b4a774efce13f250044040b254d6f80b50c8a31e3a3fa1792fe
formal_t0_v3_sample0065	65	16	1	seed006	train006	train	medium	seed006_medium	formal_t0_v3_seed006_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_medium_workload_plan.json	5eb8ec8910e6b1082d23f5b061204e07c23ad6a7dc28f8ef2580552cfbb6bab9
formal_t0_v3_sample0066	66	16	2	seed006	train006	train	medium	seed006_medium	formal_t0_v3_seed006_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_medium_workload_plan.json	5eb8ec8910e6b1082d23f5b061204e07c23ad6a7dc28f8ef2580552cfbb6bab9
formal_t0_v3_sample0067	67	16	3	seed006	train006	train	medium	seed006_medium	formal_t0_v3_seed006_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_medium_workload_plan.json	5eb8ec8910e6b1082d23f5b061204e07c23ad6a7dc28f8ef2580552cfbb6bab9
formal_t0_v3_sample0068	68	16	4	seed006	train006	train	medium	seed006_medium	formal_t0_v3_seed006_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_medium_workload_plan.json	5eb8ec8910e6b1082d23f5b061204e07c23ad6a7dc28f8ef2580552cfbb6bab9
formal_t0_v3_sample0069	69	17	1	seed006	train006	train	heavy	seed006_heavy	formal_t0_v3_seed006_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_heavy_workload_plan.json	608b2466e303ff5856770f91e56cfbe98a0f8a47672638360d8e95565e4b71e7
formal_t0_v3_sample0070	70	17	2	seed006	train006	train	heavy	seed006_heavy	formal_t0_v3_seed006_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_heavy_workload_plan.json	608b2466e303ff5856770f91e56cfbe98a0f8a47672638360d8e95565e4b71e7
formal_t0_v3_sample0071	71	17	3	seed006	train006	train	heavy	seed006_heavy	formal_t0_v3_seed006_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_heavy_workload_plan.json	608b2466e303ff5856770f91e56cfbe98a0f8a47672638360d8e95565e4b71e7
formal_t0_v3_sample0072	72	17	4	seed006	train006	train	heavy	seed006_heavy	formal_t0_v3_seed006_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed006_heavy_workload_plan.json	608b2466e303ff5856770f91e56cfbe98a0f8a47672638360d8e95565e4b71e7
formal_t0_v3_sample0073	73	18	1	seed007	train007	train	light	seed007_light	formal_t0_v3_seed007_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_light_workload_plan.json	02fa9a3558c90570e0625de5fa876dc3d71641533513cd099e2c0d22756ef611
formal_t0_v3_sample0074	74	18	2	seed007	train007	train	light	seed007_light	formal_t0_v3_seed007_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_light_workload_plan.json	02fa9a3558c90570e0625de5fa876dc3d71641533513cd099e2c0d22756ef611
formal_t0_v3_sample0075	75	18	3	seed007	train007	train	light	seed007_light	formal_t0_v3_seed007_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_light_workload_plan.json	02fa9a3558c90570e0625de5fa876dc3d71641533513cd099e2c0d22756ef611
formal_t0_v3_sample0076	76	18	4	seed007	train007	train	light	seed007_light	formal_t0_v3_seed007_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_light_workload_plan.json	02fa9a3558c90570e0625de5fa876dc3d71641533513cd099e2c0d22756ef611
formal_t0_v3_sample0077	77	19	1	seed007	train007	train	medium	seed007_medium	formal_t0_v3_seed007_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_medium_workload_plan.json	2442cde1e15b284a9a27c586e4597d95361c15c6d616783d284df487af007d01
formal_t0_v3_sample0078	78	19	2	seed007	train007	train	medium	seed007_medium	formal_t0_v3_seed007_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_medium_workload_plan.json	2442cde1e15b284a9a27c586e4597d95361c15c6d616783d284df487af007d01
formal_t0_v3_sample0079	79	19	3	seed007	train007	train	medium	seed007_medium	formal_t0_v3_seed007_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_medium_workload_plan.json	2442cde1e15b284a9a27c586e4597d95361c15c6d616783d284df487af007d01
formal_t0_v3_sample0080	80	19	4	seed007	train007	train	medium	seed007_medium	formal_t0_v3_seed007_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_medium_workload_plan.json	2442cde1e15b284a9a27c586e4597d95361c15c6d616783d284df487af007d01
formal_t0_v3_sample0081	81	20	1	seed007	train007	train	heavy	seed007_heavy	formal_t0_v3_seed007_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_heavy_workload_plan.json	2726b0934016f8d7115b708c31a8a547862daf0f01e0b8d75f1ca38131fbc6bd
formal_t0_v3_sample0082	82	20	2	seed007	train007	train	heavy	seed007_heavy	formal_t0_v3_seed007_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_heavy_workload_plan.json	2726b0934016f8d7115b708c31a8a547862daf0f01e0b8d75f1ca38131fbc6bd
formal_t0_v3_sample0083	83	20	3	seed007	train007	train	heavy	seed007_heavy	formal_t0_v3_seed007_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_heavy_workload_plan.json	2726b0934016f8d7115b708c31a8a547862daf0f01e0b8d75f1ca38131fbc6bd
formal_t0_v3_sample0084	84	20	4	seed007	train007	train	heavy	seed007_heavy	formal_t0_v3_seed007_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed007_heavy_workload_plan.json	2726b0934016f8d7115b708c31a8a547862daf0f01e0b8d75f1ca38131fbc6bd
formal_t0_v3_sample0085	85	21	1	seed008	train008	train	light	seed008_light	formal_t0_v3_seed008_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_light_workload_plan.json	14a1ac6aa744ad212984ed6b46d51e5e7892b63a72201532ccfefa80dbdb7701
formal_t0_v3_sample0086	86	21	2	seed008	train008	train	light	seed008_light	formal_t0_v3_seed008_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_light_workload_plan.json	14a1ac6aa744ad212984ed6b46d51e5e7892b63a72201532ccfefa80dbdb7701
formal_t0_v3_sample0087	87	21	3	seed008	train008	train	light	seed008_light	formal_t0_v3_seed008_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_light_workload_plan.json	14a1ac6aa744ad212984ed6b46d51e5e7892b63a72201532ccfefa80dbdb7701
formal_t0_v3_sample0088	88	21	4	seed008	train008	train	light	seed008_light	formal_t0_v3_seed008_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_light_workload_plan.json	14a1ac6aa744ad212984ed6b46d51e5e7892b63a72201532ccfefa80dbdb7701
formal_t0_v3_sample0089	89	22	1	seed008	train008	train	medium	seed008_medium	formal_t0_v3_seed008_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_medium_workload_plan.json	627d3d4a91046a108abb452b37082b4f166b19fde4e73849f33e049bc637c734
formal_t0_v3_sample0090	90	22	2	seed008	train008	train	medium	seed008_medium	formal_t0_v3_seed008_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_medium_workload_plan.json	627d3d4a91046a108abb452b37082b4f166b19fde4e73849f33e049bc637c734
formal_t0_v3_sample0091	91	22	3	seed008	train008	train	medium	seed008_medium	formal_t0_v3_seed008_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_medium_workload_plan.json	627d3d4a91046a108abb452b37082b4f166b19fde4e73849f33e049bc637c734
formal_t0_v3_sample0092	92	22	4	seed008	train008	train	medium	seed008_medium	formal_t0_v3_seed008_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_medium_workload_plan.json	627d3d4a91046a108abb452b37082b4f166b19fde4e73849f33e049bc637c734
formal_t0_v3_sample0093	93	23	1	seed008	train008	train	heavy	seed008_heavy	formal_t0_v3_seed008_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_heavy_workload_plan.json	15238341f3d5539b979debba10478492d0cd84bfdd7f86d76dbba502b156f8ab
formal_t0_v3_sample0094	94	23	2	seed008	train008	train	heavy	seed008_heavy	formal_t0_v3_seed008_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_heavy_workload_plan.json	15238341f3d5539b979debba10478492d0cd84bfdd7f86d76dbba502b156f8ab
formal_t0_v3_sample0095	95	23	3	seed008	train008	train	heavy	seed008_heavy	formal_t0_v3_seed008_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed008_heavy_workload_plan.json	15238341f3d5539b979debba10478492d0cd84bfdd7f86d76dbba502b156f8ab
